Date,Currency,Description,Producer,Record,Bid,Ask,Bid Yield %,Ask Yield %,Maturity Date,Coupon,Last Trade Price,Last Trade Size mm,Mid Yield %,Bid Size mm,Ask Size mm,Duration,Total Volume mm,Dollar Flow,Close,High,Low,Open,VWAP,VWAY %,Best Ask Size1,Best Ask Size2,Best Ask Size3,Best Ask Size4,Best Ask Size5,Best Ask1,Best Ask2,Best Ask3,Best Ask4,Best Ask5,Best Bid Size1,Best Bid Size2,Best Bid Size3,Best Bid Size4,Best Bid Size5,Best Bid1,Best Bid2,Best Bid3,Best Bid4,Best Bid5,Sequence
05/01/2018 18:32:50.668,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,1
05/01/2018 18:33:05.950,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,,,,<blank>,<blank>,,<blank>,,<blank>,<blank>,<blank>,<blank>,,,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,2
06/01/2018 01:00:38.313,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,<blank>,<blank>,1.968,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,0,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,3
06/01/2018 13:10:44.059,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,<blank>,<blank>,1.968,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,0,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,4
06/01/2018 13:11:44.122,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,<blank>,<blank>,1.968,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,0,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,5
06/01/2018 13:21:44.232,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,<blank>,<blank>,1.968,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,0,0,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,6
06/01/2018 17:45:14.612,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,,,,,,<blank>,<blank>,,<blank>,,<blank>,<blank>,<blank>,<blank>,,,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,7
06/01/2018 18:00:04.395,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,8
06/01/2018 18:00:04.505,USD,2YR NOTE,US_500,2_YEAR,<blank>,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,9
06/01/2018 18:05:17.599,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
06/01/2018 18:05:17.662,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
06/01/2018 18:32:44.555,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,12
06/01/2018 18:32:59.759,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,13
06/01/2018 18:32:59.774,USD,2YR NOTE,US_500,2_YEAR,0,0,<blank>,<blank>,31 Dec 2019,1.875,,,,<blank>,<blank>,,<blank>,,<blank>,<blank>,<blank>,<blank>,,,,,,,,,,,,,,,,,,,,,,,14
