Timestamp,Record Type,Instrument Name,Premium (256ths),Quantity,Deal Source,Aggressive,Bid/Ask,Order Number,Sequence
02:11:03:070346 20180108,TRADE,2_YEAR,25556,8,1,0,B,605794000000B64E,485
02:11:03:070346 20180108,TRADE,2_YEAR,25556,8,1,1,A,605794000000BECA,486
02:11:30:412122 20180108,TRADE,2_YEAR,25556,2,1,0,B,605794000000BECF,503
02:11:30:412122 20180108,TRADE,2_YEAR,25556,10,1,1,A,605794000000BF1C,504
02:11:30:412122 20180108,TRADE,2_YEAR,25556,8,1,0,B,605794000000BED6,505
02:11:34:033405 20180108,TRADE,2_YEAR,25556,1,1,0,B,605794000000BF29,515
02:11:34:033405 20180108,TRADE,2_YEAR,25556,1,1,1,A,605794000000BF3A,516
02:15:04:530558 20180108,TRADE,2_YEAR,25556,1,1,0,B,605794000000BF29,644
02:15:04:530558 20180108,TRADE,2_YEAR,25556,11,1,1,A,605794000000C6D9,645
02:15:04:530558 20180108,TRADE,2_YEAR,25556,2,1,0,B,605794000000C4CD,646
02:15:04:530558 20180108,TRADE,2_YEAR,25556,1,1,0,B,605794000000C4D1,647
02:15:04:530558 20180108,TRADE,2_YEAR,25556,7,1,0,B,605794000000C4D9,648
02:17:04:670829 20180108,TRADE,2_YEAR,25556,2,1,0,B,605794000000C49E,714
02:17:04:670829 20180108,TRADE,2_YEAR,25556,6,1,1,A,605794000000CB48,715
02:17:04:670829 20180108,TRADE,2_YEAR,25556,4,1,0,B,605794000000C7E5,716
02:24:09:352541 20180108,TRADE,2_YEAR,25556,40,1,0,A,605794000000CB4E,950
02:24:09:352541 20180108,TRADE,2_YEAR,25556,62,1,1,B,605794000000E847,951
02:24:09:352541 20180108,TRADE,2_YEAR,25556,1,1,0,A,605794000000CB53,952
02:24:09:352541 20180108,TRADE,2_YEAR,25556,2,1,0,A,605794000000DB7F,953
02:24:09:352541 20180108,TRADE,2_YEAR,25556,19,1,0,A,605794000000E4B5,954
02:26:21:198546 20180108,TRADE,2_YEAR,25556,4,1,0,B,605794000000EE2F,1005
02:26:21:198546 20180108,TRADE,2_YEAR,25556,4,1,1,A,605794000000F123,1006
02:26:21:198716 20180108,TRADE,2_YEAR,25556,12,1,0,B,605794000000EE2F,1010
