Timestamp,Record Type,Instrument Name,Premium (256ths),Workup State,Workup Reason,Aggressive Order Number,Aggressive Bid/Ask,Passive Order Number,Passive Bid/Ask,Sequence
02:11:03:070346 20180108,WORKUP,2_YEAR,25556,10,1,000000000,2,000000000,1,483
02:11:03:070346 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,487
02:11:06:070537 20180108,WORKUP,2_YEAR,25556,0,1,000000000,2,000000000,1,492
02:11:30:412122 20180108,WORKUP,2_YEAR,25556,10,1,000000000,2,000000000,1,500
02:11:30:412122 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,506
02:11:33:412641 20180108,WORKUP,2_YEAR,25556,0,1,000000000,2,000000000,1,512
02:11:34:033405 20180108,WORKUP,2_YEAR,25556,10,1,000000000,2,000000000,1,513
02:11:34:033405 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,517
02:11:37:033662 20180108,WORKUP,2_YEAR,25556,0,1,000000000,2,000000000,1,519
02:15:04:530558 20180108,WORKUP,2_YEAR,25556,10,1,000000000,2,000000000,1,639
02:15:04:530558 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,649
02:15:07:530506 20180108,WORKUP,2_YEAR,25556,0,1,000000000,2,000000000,1,658
02:17:04:670829 20180108,WORKUP,2_YEAR,25556,10,1,000000000,2,000000000,1,710
02:17:04:670829 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,717
02:17:07:671440 20180108,WORKUP,2_YEAR,25556,0,1,000000000,2,000000000,1,740
02:24:09:352541 20180108,WORKUP,2_YEAR,25556,10,1,000000000,1,000000000,2,944
02:24:09:352541 20180108,WORKUP,2_YEAR,25556,11,1,000000000,1,000000000,2,955
02:24:12:352800 20180108,WORKUP,2_YEAR,25556,0,1,000000000,1,000000000,2,968
02:26:21:198546 20180108,WORKUP,2_YEAR,25556,10,1,000000000,2,000000000,1,1003
02:26:21:198546 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,1007
02:26:21:198716 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,1008
02:26:24:198522 20180108,WORKUP,2_YEAR,25556,0,1,000000000,2,000000000,1,1020
02:27:21:387707 20180108,WORKUP,2_YEAR,25556,10,1,000000000,2,000000000,1,1060
02:27:21:387707 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,1064
02:27:24:387067 20180108,WORKUP,2_YEAR,25556,0,1,000000000,2,000000000,1,1065
02:31:01:761793 20180108,WORKUP,2_YEAR,25556,10,1,000000000,2,000000000,1,1318
02:31:01:761793 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,1322
02:31:01:762651 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,1324
02:31:01:767700 20180108,WORKUP,2_YEAR,25556,11,1,000000000,2,000000000,1,1328
